u,x1,x2
0.09779763064454,8.66603330818688e-05 -0.012837892008848769 13.457064126963365,-0.0008045607458617209 -0.02120487952119774 14.702676655133164
0.08246698533694236,-0.0008045607458617209 -0.02120487952119774 14.702676655133164,-0.0016710006347461035 -0.022485692354768907 15.522245261026958
0.06356873501743195,-0.0016710006347461035 -0.022485692354768907 15.522245261026958,-0.0030335539047708204 -0.02716321979761118 15.93371237043805
0.058197561825101635,-0.0030335539047708204 -0.02716321979761118 15.93371237043805,-0.0038768667736562975 -0.022639514091585454 16.276444005660075
0.036129622286245,-0.0038768667736562975 -0.022639514091585454 16.276444005660075,-0.004350231056306771 -0.013786513349677213 16.379962908851947
0.04080465265494897,-0.004350231056306771 -0.013786513349677213 16.379962908851947,-0.004293220036129669 -0.004935683141625406 16.02904666755789
0.057668120044794116,-0.004293220036129669 -0.004935683141625406 16.02904666755789,-0.003824905821124062 0.002367204179293387 15.974788428666828
0.07634753330253424,-0.003824905821124062 0.002367204179293387 15.974788428666828,-0.003395412357346243 0.0031270279812296003 16.409723467284497
0.09816928225279553,-0.003395412357346243 0.0031270279812296003 16.409723467284497,-0.003402555133930013 -0.004198238237271688 17.31417247449804
0.10812972708632602,-0.003402555133930013 -0.004198238237271688 17.31417247449804,-0.003833756148151587 -0.013086150453043751 18.375743316233297
0.09820372598164809,-0.003833756148151587 -0.013086150453043751 18.375743316233297,-0.0047361803227144355 -0.020992038403464048 19.317328325648873
0.0813979878281342,-0.0047361803227144355 -0.020992038403464048 19.317328325648873,-0.0056356428137143205 -0.022421446690263906 20.14682177801335
0.06094475933005901,-0.0056356428137143205 -0.022421446690263906 20.14682177801335,-0.0065375992705344645 -0.021191492434720766 20.553813388220586
0.05495477246887781,-0.0065375992705344645 -0.021191492434720766 20.553813388220586,-0.006920066410638731 -0.01408029008133142 20.403346443679975
0.051730917978611804,-0.006920066410638731 -0.01408029008133142 20.403346443679975,-0.006457546630356543 2.9938302092514385e-05 20.25485487337193
0.06330843494019876,-0.006457546630356543 2.9938302092514385e-05 20.25485487337193,-0.0060395543641615455 0.003818020666231674 20.2460025770161
0.1004344983087477,-0.0060395543641615455 0.003818020666231674 20.2460025770161,-0.0059937852486399885 -0.0034543372242836785 20.611316982370635
0.1137639212394708,-0.0059937852486399885 -0.0034543372242836785 20.611316982370635,-0.006451690217206669 -0.013116024849812793 21.597220885269557
0.10003504393130046,-0.006451690217206669 -0.013116024849812793 21.597220885269557,-0.006924122673610112 -0.015493817259229336 22.729620860836025
0.08048164736588806,-0.006924122673610112 -0.015493817259229336 22.729620860836025,-0.007378480567092628 -0.014391514434968824 23.345538637526225
0.0792745679131385,-0.007378480567092628 -0.014391514434968824 23.345538637526225,-0.007324551484503635 -0.0076588914262968495 23.55235126784412
0.08221582040836437,-0.007324551484503635 -0.0076588914262968495 23.55235126784412,-0.0073486567984964385 -0.005744052262487307 23.886306486186893
0.10047958466013521,-0.0073486567984964385 -0.005744052262487307 23.886306486186893,-0.0073027542188502685 -0.006275349949466585 24.27023388347679
0.1075473465098476,-0.0073027542188502685 -0.006275349949466585 24.27023388347679,-0.0077832395497783305 -0.013118336479853767 25.067525008995425
0.10996743009691691,-0.0077832395497783305 -0.013118336479853767 25.067525008995425,-0.008217601459118916 -0.01571242004592537 26.087944231675248
0.09529271454615508,-0.008217601459118916 -0.01571242004592537 26.087944231675248,-0.008660866231480754 -0.015081549721494388 26.668750930193653
0.09304266681541523,-0.008660866231480754 -0.015081549721494388 26.668750930193653,-0.008633507717568857 -0.008734276516004915 27.111447449732754
0.09469044168398419,-0.008633507717568857 -0.008734276516004915 27.111447449732754,-0.008640366764076157 -0.006565405123728465 27.4365046079468
0.11372262186261217,-0.008640366764076157 -0.006565405123728465 27.4365046079468,-0.009082602490329494 -0.01320840120721192 28.08875297708121
0.1215012035965226,-0.009082602490329494 -0.01320840120721192 28.08875297708121,-0.009983036447432357 -0.022175435621673185 29.183219532356496
